Breed;Age (Years);Weight (kg);Color;Gender
Weimaraner;3;22;Blue;Female
Akita;8;35;Bicolor;Female
Shih Tzu;9;6;White;Female
German Shepherd;10;34;Tan;Female
Golden Retriever;7;58;Gray;Female
Golden Retriever;10;21;Gray;Female
Cocker Spaniel;9;25;Black and Tan;Male
Papillon;14;13;Tan;Male
Siberian Husky;6;41;Tan;Male
Cavalier King Charles Spaniel;1;34;Tan;Male
Bull Terrier;1;48;Gray;Male
Shetland Sheepdog;10;49;Red;Female
Shih Tzu;5;20;Spotted;Male
Rottweiler;7;18;Tricolor;Male
Border Collie;1;30;Merle;Male
Chinese Shar-Pei;12;42;Bicolor;Male
Siberian Husky;10;21;Tan;Female
Rottweiler;5;55;Brown;Male
Labrador Retriever;3;16;Black and White;Female
German Shepherd;13;51;White;Male
Weimaraner;3;7;Brown;Female
Dachshund;5;38;Tan;Female
West Highland White Terrier;8;33;Merle;Female
Shiba Inu;2;31;Spotted;Male
Great Dane;12;46;Brown;Male
Golden Retriever;10;6;Black and White;Male
Great Dane;13;31;Cream;Female
German Shepherd;7;13;Brindle;Female
Shih Tzu;5;24;Spotted;Female
Cocker Spaniel;7;32;Tricolor;Female
Jack Russell Terrier;11;40;Red;Female
Doberman Pinscher;9;27;Black and White;Female
Weimaraner;7;30;Tricolor;Female
Rottweiler;10;29;Cream;Male
Dogo Argentino;3;49;Red;Female
Beagle;8;25;Tricolor;Female
Boxer;13;41;Black and Tan;Male
Australian Shepherd;5;58;White;Female
Miniature Schnauzer;1;29;Sable;Male
Pekingese;2;35;Merle;Female
Dogo Argentino;7;17;Brown;Male
West Highland White Terrier;5;57;Black and Tan;Male
Miniature Schnauzer;12;47;Spotted;Male
Golden Retriever;1;33;Tan;Female
Pekingese;1;55;Blue;Male
Doberman Pinscher;3;9;Sable;Female
Saint Bernard;11;6;White;Female
Cocker Spaniel;11;10;Red;Female
Pug;8;49;Brown;Male
Havanese;7;26;Bicolor;Female
